TIME,N
2.333,0
2.333,1
2.333,0
2.333,0
2.333,0
2.333,0
2.333,0
2.333,0
2.333,0
2.333,0
2.333,1
2.333,0
2.333,1
2.333,0
2.333,1
2.333,1
2.333,1
2.333,0
2.333,0
2.667,1
2.667,0
2.667,1
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,2
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,1
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
2.667,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,1
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
3.333,0
